"A1","A2","A3","A4","A5","gender"
4,4,3,3,4,"Male"
3,2,4,4,4,"Male"
4,1,1,1,3,"Female"
6,4,6,6,5,"Female"
1,6,6,6,5,"Female"
3,5,5,6,5,"Female"
1,4,4,4,4,"Female"
6,3,4,1,5,"Female"
1,5,4,3,4,"Female"
2,5,5,4,4,"Female"
4,2,4,4,2,"Male"
1,6,5,5,6,"Female"
2,4,4,5,3,"Male"
5,4,5,2,5,"Female"
1,6,5,2,5,"Female"
4,5,4,6,6,"Male"
1,5,5,6,5,"Male"
1,6,5,5,5,"Female"
2,4,6,6,6,"Female"
3,6,3,5,4,"Female"
3,6,3,6,1,"Female"
1,5,5,4,2,"Female"
3,5,6,6,5,"Male"
1,6,5,4,5,"Female"
2,4,3,4,4,"Female"
2,6,6,6,6,"Female"
3,3,2,4,3,"Female"
5,6,3,6,3,"Female"
3,2,4,2,2,"Female"
1,6,5,4,5,"Male"
1,1,1,1,1,"Male"
1,6,6,5,5,"Female"
1,6,6,6,6,"Male"
4,6,5,5,6,"Female"
2,5,4,5,5,"Female"
2,5,5,6,5,"Female"
2,4,4,4,4,"Male"
4,5,3,4,2,"Male"
1,5,5,5,5,"Female"
3,3,2,2,3,"Female"
2,5,3,3,2,"Female"
2,4,3,2,3,"Female"
2,4,4,5,3,"Female"
2,3,1,1,4,"Female"
1,4,5,2,2,"Male"
4,5,3,4,4,"Male"
1,5,5,6,4,"Female"
2,4,6,6,5,"Female"
3,2,2,6,5,"Male"
1,5,5,6,6,"Female"
5,4,4,3,1,"Female"
2,5,3,5,5,"Female"
4,4,5,3,4,"Male"
4,5,3,4,3,"Male"
1,5,5,6,4,"Female"
1,3,3,5,3,"Female"
5,6,6,6,5,"Female"
1,4,3,6,4,"Male"
2,3,4,6,5,"Female"
4,4,2,1,3,"Male"
3,6,5,6,5,"Female"
4,5,5,5,6,"Male"
1,5,4,6,4,"Female"
6,2,4,6,3,"Male"
2,6,6,6,6,"Male"
2,4,2,4,4,"Female"
1,6,6,6,5,"Female"
3,6,6,4,3,"Female"
1,4,5,5,5,"Female"
3,4,4,4,4,"Female"
4,5,1,2,2,"Female"
2,6,4,6,5,"Female"
3,5,5,4,5,"Female"
2,5,4,6,3,"Female"
1,5,2,4,2,"Male"
4,5,4,3,3,"Female"
5,4,2,2,3,"Male"
2,6,5,4,6,"Female"
2,5,5,5,5,"Female"
1,5,4,4,4,"Female"
4,6,5,5,5,"Female"
2,5,6,6,5,"Female"
1,4,5,3,4,"Female"
1,5,5,4,5,"Female"
1,6,6,5,4,"Female"
2,4,5,6,5,"Female"
5,2,2,6,6,"Female"
2,4,4,1,3,"Male"
1,6,5,5,6,"Female"
3,4,5,4,5,"Male"
2,6,5,5,6,"Male"
2,5,4,1,6,"Male"
1,4,5,5,5,"Female"
2,5,5,6,3,"Female"
4,6,6,6,5,"Male"
4,2,1,4,1,"Male"
2,4,2,2,4,"Female"
5,3,2,2,3,"Female"
5,4,4,6,4,"Female"
4,4,4,5,4,"Female"
2,6,6,6,5,"Female"
2,5,5,6,6,"Female"
4,5,4,5,4,"Male"
4,5,5,6,5,"Female"
2,1,4,2,4,"Female"
2,1,4,1,4,"Female"
1,5,6,5,6,"Female"
1,6,6,5,6,"Female"
6,6,1,6,5,"Female"
3,6,6,5,6,"Male"
2,6,6,5,5,"Female"
4,2,5,6,1,"Female"
1,5,5,4,4,"Female"
2,6,4,1,5,"Female"
4,5,4,2,6,"Female"
1,3,5,5,5,"Female"
2,5,4,5,4,"Male"
1,6,4,4,5,"Female"
1,4,3,6,5,"Male"
4,6,4,5,5,"Female"
2,5,3,4,4,"Female"
1,5,2,4,2,"Male"
2,4,3,5,4,"Male"
2,5,6,6,5,"Female"
2,4,4,4,2,"Female"
4,2,1,1,2,"Female"
2,5,6,5,6,"Female"
3,5,4,4,4,"Female"
3,3,2,5,2,"Female"
4,5,5,5,4,"Male"
4,4,5,2,6,"Male"
4,4,5,1,5,"Female"
1,4,5,6,4,"Male"
5,2,4,3,3,"Female"
3,5,2,4,5,"Male"
1,6,5,6,4,"Female"
2,6,5,3,5,"Male"
3,5,4,6,5,"Female"
1,6,6,5,5,"Female"
1,5,5,6,5,"Female"
1,5,3,4,4,"Female"
3,4,5,6,3,"Male"
3,6,6,3,6,"Female"
4,5,2,1,4,"Female"
5,6,5,3,6,"Female"
1,6,5,6,6,"Female"
4,4,5,2,5,"Female"
1,6,6,6,6,"Female"
4,5,6,5,6,"Male"
4,3,3,2,2,"Female"
6,4,5,6,5,"Male"
6,5,6,4,5,"Female"
1,5,5,4,6,"Female"
3,3,3,4,4,"Female"
1,6,4,3,5,"Female"
5,5,5,5,5,"Male"
1,6,6,3,6,"Female"
5,6,6,1,6,"Male"
1,6,6,6,6,"Male"
1,4,3,3,4,"Female"
1,6,6,1,1,"Female"
3,4,4,4,4,"Female"
1,6,6,6,6,"Female"
6,5,5,6,6,"Female"
6,5,5,6,6,"Female"
6,2,5,6,6,"Female"
6,2,5,6,6,"Female"
6,2,5,6,6,"Female"
6,2,5,6,6,"Female"
6,2,5,6,6,"Female"
6,2,5,6,6,"Female"
6,2,5,6,6,"Female"
6,2,5,6,6,"Female"
3,4,4,1,4,"Female"
1,5,1,6,2,"Male"
2,5,5,5,2,"Female"
2,5,5,6,5,"Female"
2,5,4,4,4,"Female"
4,5,4,4,3,"Female"
1,1,4,6,6,"Female"
3,6,5,6,6,"Male"
4,5,4,4,4,"Female"
1,6,6,4,5,"Female"
5,5,5,5,4,"Male"
4,4,4,4,3,"Female"
2,5,5,6,5,"Male"
5,4,3,4,3,"Male"
4,4,4,5,5,"Female"
4,1,5,2,5,"Male"
3,5,3,6,4,"Male"
3,5,1,4,4,"Female"
2,4,6,5,5,"Male"
2,4,4,6,4,"Female"
3,2,2,2,4,"Female"
5,3,1,1,3,"Female"
1,6,4,6,4,"Male"
1,5,5,6,3,"Female"
2,5,4,6,4,"Female"
2,6,5,6,5,"Female"
3,4,3,1,3,"Female"
5,4,5,4,4,"Male"
2,5,6,6,6,"Male"
4,4,5,6,2,"Female"
2,5,6,5,5,"Female"
1,5,5,5,5,"Male"
1,6,6,6,6,"Male"
3,6,5,6,4,"Female"
2,6,5,6,5,"Male"
3,4,2,4,1,"Female"
1,5,5,5,5,"Female"
4,4,5,5,6,"Female"
1,5,4,5,4,"Female"
1,4,4,3,6,"Female"
2,4,4,2,6,"Female"
2,5,2,1,2,"Female"
2,5,4,5,5,"Female"
2,4,4,3,4,"Female"
2,4,4,4,5,"Male"
3,6,5,6,5,"Male"
1,6,6,6,6,"Female"
2,4,4,5,3,"Female"
2,4,3,3,3,"Male"
4,3,5,3,4,"Female"
3,3,4,3,5,"Female"
1,5,5,6,5,"Female"
2,3,4,5,5,"Male"
1,5,5,5,5,"Female"
1,6,2,5,2,"Female"
1,2,3,4,2,"Female"
2,4,6,5,1,"Male"
5,4,1,4,3,"Female"
2,6,6,4,5,"Female"
5,5,5,6,6,"Female"
6,2,6,6,6,"Male"
2,6,6,6,6,"Male"
2,4,5,6,5,"Female"
3,5,4,5,3,"Female"
1,6,6,6,5,"Female"
1,5,5,6,4,"Female"
1,6,6,6,6,"Male"
2,6,6,6,6,"Male"
2,4,5,6,6,"Male"
1,6,6,5,5,"Female"
1,6,5,4,5,"Female"
4,4,3,4,2,"Male"
3,4,3,2,2,"Female"
3,5,3,5,3,"Female"
2,5,6,5,6,"Female"
3,3,5,5,5,"Female"
1,5,5,4,5,"Female"
3,3,5,5,5,"Female"
3,5,5,4,4,"Female"
4,4,4,5,5,"Female"
1,6,6,6,6,"Female"
1,4,5,6,5,"Female"
3,5,1,4,5,"Male"
1,5,6,6,6,"Female"
1,5,6,5,4,"Female"
3,6,6,5,6,"Male"
1,6,6,1,6,"Male"
4,3,4,4,1,"Male"
4,6,6,6,2,"Male"
2,4,5,4,1,"Female"
2,5,5,6,5,"Male"
2,5,3,4,3,"Female"
1,5,5,6,5,"Female"
1,6,6,6,6,"Male"
3,5,4,3,4,"Female"
2,5,4,5,5,"Female"
4,3,6,6,6,"Male"
3,3,4,5,6,"Male"
1,5,5,4,6,"Female"
2,3,4,5,2,"Male"
2,2,6,2,6,"Male"
1,6,6,6,6,"Female"
3,5,4,5,5,"Female"
3,5,1,3,4,"Female"
4,4,4,2,4,"Female"
2,6,6,6,6,"Female"
5,4,5,2,5,"Female"
4,4,5,1,5,"Female"
4,6,5,6,6,"Male"
2,5,5,4,5,"Male"
3,4,4,4,4,"Male"
1,6,5,5,6,"Male"
2,6,6,6,1,"Female"
1,6,6,6,6,"Female"
2,5,2,6,5,"Male"
3,5,4,6,4,"Female"
1,4,2,6,5,"Male"
5,5,2,5,2,"Male"
3,3,5,1,5,"Female"
5,6,5,6,4,"Male"
3,3,1,1,3,"Female"
2,5,5,5,4,"Female"
1,6,6,6,6,"Female"
4,5,5,5,6,"Female"
1,5,5,5,6,"Female"
1,5,6,6,6,"Female"
2,5,5,6,5,"Male"
1,5,4,5,4,"Female"
1,5,2,5,3,"Female"
3,6,3,4,3,"Male"
1,4,5,4,5,"Female"
2,5,5,6,2,"Female"
2,6,4,4,3,"Female"
2,5,5,5,5,"Female"
3,5,2,2,5,"Male"
2,2,2,5,5,"Male"
4,4,3,2,5,"Female"
2,6,5,6,6,"Female"
4,6,4,6,3,"Female"
1,6,6,4,6,"Female"
1,5,4,4,5,"Female"
2,5,4,5,5,"Female"
2,5,5,6,5,"Female"
2,4,3,6,4,"Female"
1,6,6,5,5,"Female"
1,6,6,6,6,"Male"
5,4,4,4,3,"Male"
4,5,4,5,5,"Male"
5,2,1,2,5,"Female"
1,6,6,6,6,"Female"
1,4,4,6,4,"Male"
2,6,4,5,5,"Female"
3,3,4,2,4,"Female"
2,4,4,5,4,"Female"
2,6,4,6,5,"Male"
2,2,4,5,2,"Male"
2,5,5,2,5,"Female"
2,5,5,5,5,"Female"
1,6,5,6,5,"Female"
1,6,6,6,5,"Female"
2,5,5,2,5,"Female"
2,5,5,2,5,"Female"
2,6,5,3,5,"Female"
2,5,5,2,5,"Female"
3,4,4,5,5,"Female"
1,4,4,4,4,"Male"
3,5,6,5,5,"Female"
5,5,2,5,3,"Female"
1,5,5,6,6,"Male"
1,6,5,5,5,"Female"
3,3,4,3,4,"Male"
1,6,3,5,4,"Male"
4,2,4,5,4,"Male"
1,6,5,4,6,"Female"
2,5,6,6,6,"Male"
1,6,6,4,6,"Female"
1,6,6,6,5,"Female"
1,6,6,6,5,"Female"
5,4,2,5,3,"Male"
5,2,1,2,2,"Female"
5,6,6,6,6,"Female"
1,6,4,5,6,"Male"
2,5,4,6,4,"Female"
3,5,6,6,5,"Female"
1,6,6,5,6,"Female"
1,6,6,6,6,"Female"
4,3,3,5,1,"Female"
2,5,5,5,6,"Female"
2,4,5,6,5,"Female"
1,6,6,4,6,"Male"
1,6,6,6,6,"Male"
4,5,4,6,5,"Female"
1,5,6,4,6,"Female"
1,5,6,6,1,"Female"
3,4,3,5,4,"Male"
3,6,6,5,5,"Female"
6,4,1,5,4,"Male"
2,4,4,5,5,"Female"
1,5,4,6,4,"Male"
1,5,5,6,5,"Female"
4,3,5,6,4,"Male"
1,6,6,6,3,"Female"
6,6,4,4,4,"Female"
1,5,6,5,5,"Female"
2,6,5,5,3,"Female"
1,6,6,4,6,"Female"
2,5,5,1,4,"Female"
5,4,5,6,2,"Male"
4,4,4,5,4,"Female"
2,6,6,6,5,"Female"
5,4,5,4,5,"Female"
6,6,6,5,5,"Male"
3,1,1,2,1,"Male"
2,6,6,2,4,"Male"
1,5,6,5,5,"Female"
1,6,6,6,4,"Female"
2,5,4,3,3,"Male"
1,6,6,6,6,"Female"
4,5,5,4,5,"Male"
3,4,3,1,3,"Male"
1,5,6,4,6,"Female"
3,5,5,3,5,"Female"
1,6,5,4,4,"Female"
1,5,6,5,2,"Female"
2,5,5,6,5,"Male"
1,5,6,5,6,"Male"
2,5,5,4,4,"Female"
5,5,2,2,4,"Male"
2,6,6,6,6,"Female"
1,5,4,4,5,"Female"
1,6,6,6,6,"Female"
1,5,5,6,4,"Female"
4,4,5,4,4,"Female"
4,4,4,4,4,"Male"
1,6,5,5,5,"Male"
1,4,6,2,5,"Female"
1,6,5,6,5,"Female"
5,3,5,6,4,"Female"
1,6,6,6,6,"Female"
1,6,4,2,6,"Female"
1,6,6,6,6,"Female"
3,6,5,6,6,"Male"
5,5,5,5,3,"Female"
3,4,3,4,3,"Female"
1,6,6,4,5,"Male"
1,4,4,6,4,"Female"
1,6,6,5,6,"Male"
5,2,2,4,4,"Female"
2,4,5,5,5,"Female"
2,6,5,5,5,"Female"
1,4,6,5,6,"Female"
2,6,4,3,4,"Female"
1,4,4,4,4,"Male"
2,4,4,6,4,"Female"
5,2,2,2,4,"Female"
1,5,5,6,5,"Male"
1,5,5,5,4,"Female"
2,5,5,5,6,"Male"
2,5,5,6,4,"Female"
4,5,5,6,4,"Male"
2,2,5,5,3,"Male"
2,5,4,4,4,"Female"
1,4,3,4,5,"Female"
4,5,5,6,5,"Female"
1,6,6,5,6,"Female"
3,4,4,6,3,"Female"
2,6,5,6,6,"Male"
2,4,5,4,4,"Female"
2,4,4,3,4,"Female"
2,5,5,4,5,"Female"
1,5,5,6,6,"Female"
1,6,6,6,6,"Female"
1,6,5,4,6,"Female"
1,6,5,4,5,"Male"
2,5,6,5,6,"Male"
5,2,3,4,2,"Male"
2,6,5,6,3,"Female"
1,6,4,6,4,"Male"
2,5,6,4,6,"Female"
1,6,6,6,6,"Female"
1,5,5,5,5,"Male"
3,2,3,5,3,"Female"
3,6,5,6,5,"Female"
1,6,6,4,6,"Female"
1,5,5,6,4,"Male"
1,6,6,5,6,"Female"
2,5,6,6,4,"Female"
1,6,6,6,6,"Female"
3,6,6,5,6,"Male"
3,5,6,6,5,"Male"
1,6,6,6,6,"Female"
2,6,2,6,5,"Female"
1,6,5,5,5,"Female"
1,5,2,4,2,"Male"
2,5,6,6,5,"Male"
5,5,5,2,6,"Female"
2,6,6,6,5,"Female"
2,6,6,6,4,"Female"
1,6,4,1,4,"Female"
1,5,6,6,4,"Male"
3,2,5,4,4,"Female"
1,6,6,4,6,"Female"
4,6,5,6,5,"Female"
2,5,5,2,5,"Female"
4,4,2,2,1,"Female"
1,5,6,5,6,"Female"
1,5,6,6,5,"Female"
3,4,2,1,1,"Female"
2,6,5,6,6,"Female"
1,6,6,6,6,"Male"
3,4,4,4,3,"Female"
1,5,5,6,5,"Female"
5,5,5,4,5,"Female"
2,4,5,6,4,"Female"
2,5,6,6,5,"Female"
3,4,5,6,5,"Female"
2,6,6,6,5,"Female"
2,6,5,6,4,"Female"
3,4,4,5,4,"Female"
4,4,4,6,3,"Male"
2,5,5,6,6,"Female"
5,3,2,5,2,"Female"
3,4,4,6,6,"Male"
5,4,4,6,5,"Female"
1,5,6,5,5,"Female"
3,4,5,5,5,"Female"
2,6,5,6,5,"Female"
2,5,5,5,5,"Female"
1,5,5,3,4,"Male"
1,6,6,6,6,"Male"
2,6,6,6,5,"Male"
1,6,6,6,5,"Female"
5,6,6,5,6,"Female"
5,6,3,6,3,"Female"
4,2,5,2,5,"Male"
1,6,5,6,6,"Female"
1,6,6,6,6,"Female"
5,5,2,2,3,"Female"
5,5,2,2,3,"Female"
6,6,6,6,5,"Female"
5,6,6,6,6,"Female"
2,5,3,5,5,"Male"
1,5,5,6,6,"Female"
3,4,4,1,3,"Female"
6,6,6,6,6,"Male"
4,5,3,6,4,"Male"
2,5,3,5,6,"Female"
5,4,3,4,3,"Male"
3,4,5,6,5,"Male"
3,6,5,6,4,"Female"
1,5,5,6,6,"Female"
3,5,6,6,6,"Male"
5,1,5,1,4,"Female"
1,6,6,6,6,"Female"
5,2,3,3,3,"Male"
2,5,5,6,5,"Female"
5,2,6,5,5,"Male"
5,3,3,4,4,"Male"
2,4,4,6,4,"Female"
2,5,6,5,6,"Female"
4,3,2,4,3,"Female"
1,5,6,6,6,"Female"
1,6,5,6,5,"Female"
2,5,5,6,5,"Female"
4,4,5,5,5,"Male"
1,2,2,6,2,"Female"
3,6,3,3,4,"Male"
1,5,5,5,4,"Female"
5,5,5,6,6,"Female"
5,4,2,4,2,"Female"
2,6,6,6,6,"Male"
1,2,5,6,5,"Female"
1,6,5,6,6,"Male"
3,4,5,6,5,"Female"
1,6,5,5,6,"Female"
2,5,2,5,4,"Female"
2,5,4,6,5,"Male"
4,5,3,2,3,"Male"
2,5,5,5,4,"Female"
1,6,6,6,4,"Female"
6,5,6,5,5,"Female"
2,5,5,4,5,"Male"
1,6,6,6,6,"Female"
1,6,5,5,4,"Female"
1,6,6,6,6,"Female"
1,6,6,6,6,"Female"
1,6,5,6,6,"Male"
5,4,5,6,4,"Male"
1,6,5,5,5,"Female"
2,4,5,4,4,"Female"
1,6,5,6,5,"Female"
6,6,4,6,3,"Female"
3,5,5,6,6,"Male"
3,4,5,5,5,"Male"
4,5,5,4,5,"Male"
5,6,5,6,6,"Female"
5,6,3,6,6,"Female"
5,5,2,5,6,"Male"
6,6,6,6,6,"Male"
1,5,5,6,5,"Female"
3,6,6,6,6,"Female"
1,6,6,6,6,"Female"
1,6,5,6,5,"Female"
2,6,6,4,6,"Female"
3,6,6,6,6,"Female"
5,4,4,3,5,"Male"
1,6,6,5,6,"Female"
2,5,6,6,5,"Male"
2,4,4,6,4,"Female"
1,5,4,6,4,"Female"
1,4,4,5,4,"Female"
5,5,6,5,6,"Female"
3,5,5,6,6,"Female"
4,4,2,6,4,"Female"
1,5,4,6,4,"Female"
4,4,4,6,1,"Male"
1,6,6,6,1,"Female"
5,6,6,6,6,"Female"
2,5,5,4,6,"Female"
2,6,6,6,5,"Female"
1,5,6,6,6,"Female"
1,6,5,4,4,"Female"
3,2,4,6,5,"Male"
1,6,6,6,4,"Female"
3,4,5,6,5,"Female"
5,1,6,5,5,"Female"
1,5,5,5,5,"Female"
1,6,5,6,5,"Female"
2,6,4,6,2,"Female"
3,5,5,5,4,"Female"
1,6,4,6,6,"Female"
3,4,5,6,3,"Female"
1,5,5,6,5,"Female"
2,5,6,5,5,"Male"
6,5,6,6,6,"Male"
3,3,5,6,4,"Female"
1,5,5,6,5,"Male"
4,5,6,6,6,"Female"
4,4,4,5,6,"Male"
3,6,6,6,6,"Female"
2,6,6,6,4,"Female"
2,5,5,3,5,"Female"
2,6,5,6,6,"Male"
1,6,6,6,6,"Female"
2,5,5,6,6,"Female"
2,6,5,6,6,"Female"
2,5,2,6,2,"Female"
4,4,4,6,5,"Female"
5,5,5,6,5,"Female"
5,5,5,6,5,"Female"
1,6,6,6,6,"Female"
3,4,4,4,4,"Female"
3,4,4,4,4,"Female"
1,6,6,5,6,"Female"
5,5,6,6,2,"Female"
2,5,5,6,6,"Female"
2,6,6,6,5,"Female"
2,5,4,4,5,"Male"
4,5,5,6,2,"Female"
1,6,6,6,6,"Female"
2,3,6,5,5,"Male"
5,6,6,6,6,"Female"
3,5,5,5,5,"Male"
1,6,4,6,5,"Female"
1,5,5,6,5,"Female"
1,6,5,6,5,"Female"
2,6,6,6,6,"Female"
1,5,3,4,5,"Female"
1,5,4,5,4,"Female"
1,5,5,5,5,"Female"
1,1,1,1,1,"Male"
1,6,6,6,5,"Female"
1,5,5,6,5,"Female"
2,4,2,5,2,"Male"
3,5,5,6,5,"Female"
5,5,3,5,2,"Male"
2,6,5,6,5,"Male"
1,4,6,5,4,"Female"
2,5,5,6,5,"Female"
3,5,5,4,5,"Male"
2,3,5,1,5,"Male"
2,6,3,6,2,"Female"
2,4,3,3,3,"Female"
1,6,6,6,5,"Female"
5,5,4,6,5,"Female"
1,6,6,6,5,"Female"
5,6,6,6,6,"Male"
1,5,6,6,5,"Female"
2,5,1,6,6,"Male"
1,6,4,6,6,"Female"
2,5,5,6,6,"Female"
4,4,1,6,3,"Female"
3,5,5,5,3,"Female"
2,4,6,4,6,"Female"
6,1,6,6,5,"Male"
2,5,5,4,5,"Female"
4,5,4,5,5,"Male"
2,6,6,6,5,"Female"
2,6,6,6,1,"Female"
3,4,3,6,3,"Male"
2,5,4,4,5,"Female"
2,5,5,3,4,"Female"
4,6,6,6,6,"Female"
1,6,6,6,6,"Female"
2,4,4,5,4,"Female"
1,6,6,6,6,"Female"
2,5,5,2,4,"Female"
5,2,6,4,6,"Female"
3,6,4,6,5,"Female"
1,6,6,6,6,"Female"
1,6,5,6,4,"Female"
2,5,5,5,4,"Female"
2,6,5,6,6,"Male"
1,5,1,5,5,"Female"
5,1,3,5,2,"Male"
1,6,6,6,6,"Female"
3,5,6,5,6,"Female"
1,6,6,6,6,"Female"
4,4,2,2,2,"Male"
4,6,5,5,4,"Female"
5,5,5,6,5,"Male"
2,5,6,6,5,"Female"
5,4,2,3,4,"Female"
1,6,6,6,5,"Female"
1,6,6,6,6,"Female"
